1946_1	1946_1	To the Congress of the United States:  
1946_474	1946_474	The ultimate benefit which veterans receive from the loan guarantee  provisions of the Servicemen's Readjustment Act depends largely on the  success of our stabilization program in restraining building costs and real  estate values. Under the revised procedure contained in recent amendments,  the administrative workload will be minimized by the almost complete  transfer of authority for approving the guarantees to private lending  agencies and private appraisers designated by the Veterans Administration.  This authority carries with it the responsibility for restricting the  guarantees to loans on reasonably valued properties. Costs of the program,  other than for administration, are estimated at 21 million dollars in the  fiscal year 1947.  
1946_478	1946_478	(b) For interest.  
1946_482	1946_482	This category of expenditures is thus losing gradually its  "aftermath_of_war" character, and by the succeeding year will reflect  almost entirely the normal operation of loss carry_backs and current tax  collection.  
1946_486	1946_486	To provide for the expenditures from general and special accounts, I  recommend for the fiscal year 1947 appropriations of million dollars  (including the existing permanent appropriation of an amount equal to 30  percent of estimated annual customs receipts) and a reappropriation of 88  million dollars of prior_year balances from customs receipts. In addition  there is a recommended authorization of 367.5 million dollars for borrowing  from the Reconstruction finance Corporation for the loan programs of the  farm Security Administration and the Rural Electrification Administration.  It is expected that the operations of the Commodity Credit Corporation will  be financed during the coming year through the 500 million dollars of  lend_lease funds which the Congress has earmarked for price support  purposes, a supplemental appropriation to restore impaired capital of the  Corporation, and the borrowing authority of the Corporation.  
1946_495	1946_495	Federal capital outlays for transportation facilities are expected to  approximate 519 million dollars in the fiscal year 1947. State and local  governments may spend 400 million dollars. Private investment, over half of  it by railways, may approach 1,150 million dollars.  
1946_496	1946_496	The Congress has already taken steps for the resumption of work on  improvement of rivers and harbors and on the construction of new  Federal_aid highways. Much needed work on airports can begin when the  Congress enacts legislation now in conference between the two Houses.  
1946_497	1946_497	The Federal expenditure estimates for the fiscal year 1947 include 53  million dollars for new construction in rivers, harbors, and the Panama  Canal and 291 million dollars for highways and grade_crossing elimination,  assuming that the States expend some 275 million dollars on the Federal_aid  system. Additional expenditures for highways totaling 36 million dollars  are anticipated by the forest Service, National Park Service, and the  Territory of Alaska. Civil airways and airports will involve expenditures  of 35 million dollars under existing authority. Additional Federal  expenditures exceeding 20 million dollars (to be matched by States and  municipalities) may be made during the fiscal year 1947 under the airport  legislation now in conference between the two Houses of the Congress.  
1946_499	1946_499	The estimates for the United States Maritime Commission and War Shipping  Administration provide for the transition of shipping operation from a war  to a peace basis; the sale, chartering, or lay_up of much of the war_built  fleet; and for a program of ship construction of some 84 million dollars in  the fiscal year 1947 to round out the merchant fleet for peacetime use.  
1946_503	1946_503	The reclamation and flood control projects which I am recommending for the  fiscal year 1947 will involve capital outlays of approximately 319 million  dollars as compared with 245 million dollars in the fiscal year 1946. These  expenditures cover programs of the Corps of Engineers, the Bureau of  Reclamation, the Bureau of Indian Affairs, the Department of Agriculture,  and the International Boundary and Water Commission, United States and  Mexico. A number of these projects are multiple_purpose projects, providing  not only for reclamation and irrigation of barren land and flood control,  but also for the production of power needed for industrial development of  the areas.  
1946_504	1946_504	Expenditures for power transmission and distribution facilities by the  Bonneville Power Administration are expected to increase from 12 million  dollars in the fiscal year 1946 to 15 million dollars in the next fiscal  year. In addition, the Southwestern Power Administration will undertake a  new program involving expenditures of about 16 million dollars in the  fiscal year 1947. The Rural Electrification Administration will require  expenditures during the current fiscal year estimated at 156 million  dollars; in the fiscal year 1947, at 241 million dollars.  
1946_505	1946_505	The TVA program includes completion of major multiple_purpose  projects navigation, flood control, and power facilities and additions to  chemical plants and related facilities. Expenditures for these capital  improvement programs are estimated at 30 million dollars in the fiscal year  1946 and 39 million dollars in the fiscal year 1947.  
1946_513	1946_513	The Budget provides for continuation and desirable expansion of the  research activities that are carried on throughout the Federal  establishment and through previously authorized grants to the States.  Additional appropriations will be required for the proposed central Federal  research agency which I recommended last September 6. That agency will  coordinate existing research activities and administer funds for new  research activities wherever they are needed; it will not itself conduct  research. The plan contemplates expenditures through the new research  agency of approximately 40 million dollars for the first year.  
1946_514	1946_514	These amounts are small in relation to the important contribution they can  make to the national income, the welfare of our people, and the common  defense. Expenditures must be limited for the time being by the capacity of  research agencies to make wise use of funds. The maintenance of our  position as a nation, however, will require more emphasis on research  expenditures in the future than in the past.  
1946_515	1946_515	Educational expenditures will require a significant share of the national  income in the fiscal year 1947. State, local, and private expenditures for  the current support of elementary, secondary, and higher education are  expected to be substantially above 3 billion dollars in that year. These  nonfederal expenditures will be supplemented by Federal expenditures  estimated at 625 million dollars in the present Budget. Of this amount, the  estimate for veterans' education, as previously mentioned, is 535 million  dollars. Other amounts include 21 million dollars for the support of  vocational education in public schools, 5 million dollars for the  land_grant colleges, 50 million dollars for the present school_lunch and  milk program, 1 million dollars for the Office of Education, and  approximately 13 million dollars for various other items. In view of the  major policy issues which are still under study by the Congress and the  Administration, no specific amount has been determined for the Federal  grants, previously recommended in this Message, which would assist the  States generally in assuring more nearly equal opportunities for a good  education.  
1946_516	1946_516	Notwithstanding the urgent need for additional school and college  buildings, careful planning will be required for the expenditures to be  made under the proposed legislation to aid the States in providing  educational facilities. A major share of the grants for the first year  would be for surveys and plans.  
1946_517	1946_517	I have already outlined the broad objectives of our foreign economic  policy. In the present section I shall indicate the Federal outlays which  the execution of these programs may require in the fiscal years 1946 and  1947.  
1946_518	1946_518	(a) On the termination of lend_lease, the lend_lease countries were  required to pay for goods in the lend_lease pipe line either in cash or by  borrowing from the United States or by supplying goods and services to the  United States. Credits for this purpose have already been extended to  Soviet Union, France, the Netherlands, and Belgium amounting to 675 million  dollars. The settlement credit of 650 million dollars to the United Kingdom  includes an amount preliminarily fixed at 118 million dollars which  represents the excess of purchases by the United Kingdom from the pipe line  over goods and services supplied by the United Kingdom to the United States  since VJ_day and the balance of various claims by one government against  the other.  
1946_532	1946_532	Other increases are for civil aeronautics promotion, the business and  manufacturing censuses, and other expanded business services of the  Department of Commerce which have been referred to above; the forest and  Soil Conservation Services and other committees of the Department of  certain conservation activities of the Department of the Interior; and the  collection of internal revenue in the Treasury Department.  
1946_533	1946_533	The necessity for reestablishing postal services curtailed during the war  and advances in the rates of pay for postal employees have increased  substantially the estimated expenditures for postal service for both the  current and the next fiscal year. It is not expected that this increase  will cause expenditures to exceed postal revenues in either year, although  an excess of expenditures may occur in the fiscal year 1947 if salaries are  increased further.  
1946_537	1946_537	It should be impossible for any man to contemplate without a sense of  personal humility the tremendous events of the 12 months since the last  annual Message, the great tasks that confront us, the new and huge problems  of the coming months and years. Yet these very things justify the deepest  confidence in the future of this Nation of free men and women.  
1946_539	1946_539	As printed above, references to tables appearing in the budget document  have been omitted.  
1947_6	1947_6	If in this year, and in the next, we can find the right course to take as  each issue arises, and if, in spite of all difficulties, we have the  courage and the resolution to take that course, then we shall achieve a  state of well_being for our people without precedent in history. And if we  continue to work with the other nations of the world earnestly, patiently,  and wisely, we can granting a will for peace on the part of our  neighbors_make a lasting peace for the world.  
1947_11	1947_11	As the year 1947 begins, the state of our national economy presents great  opportunities for all. We have virtually full employment. Our national  production of goods and services is 50 percent higher than in any year  prior to the war emergency. The national income in 1946 was higher than in  any peacetime year. Our food production is greater than it has ever been.  During the last 5 years our productive facilities have been expanded in  almost every field. The American standard of living is higher now than ever  before, and when the housing shortage can be overcome it will be even  higher.  
1947_17	1947_17	An important present source of danger to our economy is the possibility  that prices might be raised to such an extent that the consuming public  could not purchase the tremendous volume of goods and services which will  be produced during 1947.  
1947_18	1947_18	We all know that recent price increases have denied to many of our workers  much of the value of recent wage increases. Farmers have found that a large  part of their increased income has been absorbed by increased prices. While  some of our people have received raises in income which exceed price  increases, the great majority have not. Those persons who live on modest  fixed incomes retired persons living on pensions, for example and workers  whose incomes are relatively inflexible, such as teachers and other civil  servants have suffered hardship.  
1947_25	1947_25	Second, restriction of monopoly and unfair business practices; assistance  to small business; and the promotion of the free competitive system of  private enterprise.  
1947_26	1947_26	Third, continuation of an aggressive program of home construction.  
1947_29	1947_29	LABOR AND MANAGEMENT  
1947_31	1947_31	Despite this outbreak of economic warfare in 1946, we are today producing  goods and services in record volume. Nevertheless, it is essential to  improve the methods for reaching agreement between labor and management and  to reduce the number of strikes and lockouts.  
1947_33	1947_33	We must remember, in reviewing the record of disputes in 1946, that  management shares with labor the responsibility for failure to reach  agreements which would have averted strikes. For that reason, we must  realize that industrial peace cannot be achieved merely by laws directed  against labor unions.  
1947_35	1947_35	That is still the national policy.  
1947_36	1947_36	And it should continue to be the national policy!  
1947_39	1947_39	We should enact legislation to correct certain abuses and to provide  additional governmental assistance in bargaining. But we should also  concern ourselves with the basic causes of labor_management difficulties.  
1947_41	1947_41	Point number one is the early enactment of legislation to prevent certain  unjustifiable practices.  
1947_45	1947_45	A second unjustifiable practice is the secondary boycott, when used to  further jurisdictional disputes or to compel employers to violate the  National Labor Relations Act.  
1947_47	1947_47	A third practice that should be corrected is the use of economic force, by  either labor or management, to decide issues arising out of the  interpretation of existing contracts.  
1947_48	1947_48	Collective bargaining agreements, like other contracts, should be  faithfully adhered to by both parties. In the most enlightened  union_management relationships, disputes over the interpretation of  contract terms are settled peaceably by negotiation or arbitration.  Legislation should be enacted to provide machinery whereby unsettled  disputes concerning the interpretation of an existing agreement may be  referred by either party to final and binding arbitration.  
1947_49	1947_49	Point number two is the extension of facilities within the Department of  Labor for assisting collective bargaining.  
1947_51	1947_51	Point number three is the broadening of our program of social legislation  to alleviate the causes of workers' insecurity.  
1947_53	1947_53	Point number four is the appointment of a Temporary Joint Commission to  inquire into the entire field of labor_management relations.  
1947_63	1947_63	RESTRICTION Of MONOPOLY AND PROMOTION OF PRIVATE ENTERPRISE  
1947_65	1947_65	During the war, this long_standing tendency toward economic concentration  was accelerated. As a consequence, we now find that to a greater extent  than ever before, whole industries are dominated by one or a few large  organizations which can restrict production in the interest of higher  profits and thus reduce employment and purchasing power.  
1947_67	1947_67	To strengthen and enforce the laws that regulate business practices is not  enough. Enforcement must be supplemented by positive measures of aid to new  enterprises. Government assistance, research programs, and credit powers  should be designed and used to promote the growth of new firms and new  industries. Assistance to small business is particularly important at this  time when thousands of veterans who are potential business and industrial  leaders are beginning their careers.  
1947_70	1947_70	The third major policy is also of great importance to the national economy:  an aggressive program to encourage housing construction. The first federal  program to relieve the veterans' housing shortage was announced in February  1946. In 1946 one million family housing units have been put under  construction and more than 665,000 units have already been completed. The  rate of expansion in construction has broken all records.  
1947_73	1947_73	FISCAL AFFAIRS  
1947_74	1947_74	The fourth major policy has to do with the balancing of the budget. In a  prosperous period such as the present one, the budget of the Federal  Government should be balanced. Prudent management of public finance  requires that we begin the process of reducing the public debt. The budget  which I shall submit to you this week has a small margin of surplus. In the  Budget Message I am making recommendations which, if accepted, will result  in a substantially larger surplus which should be applied to debt  retirement. One of these recommendations is that the Congress take early  action to continue throughout the next fiscal year the war excise tax rates  which, under the present law, will expire on June 30, 1947.  
1947_75	1947_75	Expenditures relating to the war are still high. Considerable sums are  required to alleviate world famine and suffering. Aid to veterans will  continue at peak level. The world situation is such that large military  expenditures are required. Interest on the public debt and certain other  costs are irreducible. For these reasons I have had to practice stringent  economy in preparing the budget; and I hope that the Congress will  cooperate in this program of economy.  
1947_76	1947_76	AGRICULTURE  
1947_78	1947_78	Production of food reached record heights in 1946. Much of our tremendous  grain crop can readily be sold abroad and thus will become no threat to our  domestic markets. But in the next few years American agriculture can face  the same dangers it did after World War I. In the early twenties the Nation  failed to maintain outlets for the new productive capacity of our  agricultural plant. It failed to provide means to protect the farmer while  he adjusted his acreage to peacetime demands.  
1947_79	1947_79	The result we all remember too well. Farm production stayed up while demand  and prices fell, in contrast with industry where prices stayed up and  output declined, farm surpluses piled up, and disaster followed.  
1947_81	1947_81	The purpose of these laws was to permit an orderly transition from war to  peace. The Government plan of support prices was not designed to absorb, at  great cost, the unlimited surpluses of a highly productive agriculture.  
1947_82	1947_82	We must not wait until the guarantees expire to set the stage for permanent  farm welfare.  
1947_83	1947_83	The farmer is entitled to a fair income.  
1947_91	1947_91	Exclusive of mustering_out payments and terminal leave pay, the program for  veterans of all wars is costing over seven billion dollars a  year one_fifth of our total federal budget. This is the most far_reaching  and complete veterans program ever conceived by any nation.  
1947_92	1947_92	Except for minor adjustments, I believe that our program of benefits for  veterans is now complete. In the long run, the success of the program will  not be measured by the number of veterans receiving financial aid or by the  number of dollars we spend. History will judge us not by the money we  spend, but by the further contribution we enable our veterans to make to  their country. In considering any additional legislation, that must be our  criterion.  
1947_93	1947_93	CIVIL RIGHTS  
1947_95	1947_95	The will to fight these crimes should be in the hearts of every one of us.  
1947_99	1947_99	NATURAL RESOURCES  
1947_102	1947_102	FOREIGN AFFAIRS  
1947_107	1947_107	Our policy toward the Soviet Union is guided by the same principles which  determine our policies toward all nations. We seek only to uphold the  principles of international justice which have been embodied in the Charter  of the United Nations.  
1947_113	1947_113	World economic cooperation is essential to world political cooperation. We  have made a good start on economic cooperation through the International  Bank, the International Monetary fund, and the Export_Import Bank. We must  now take other steps for the reconstruction of world trade and we should  continue to strive for an international trade system as free from  obstructions as possible.  
1947_114	1947_114	ATOMIC ENERGY  
1947_123	1947_123	The Navy is supporting the occupation troops in Europe and in the Far East.  Its fundamental mission to support our national interests wherever  required is unchanged. The Navy, including the Marine Corps, will average  571,000 officers and men during the fiscal year 1948.  
1947_128	1947_128	National security does not consist only of an army, a navy, and an air  force. It rests on a much broader basis. It depends on a sound economy of  prices and wages, on prosperous agriculture, on satisfied and productive  workers, on a competitive private enterprise free from monopolistic  repression, on continued industrial harmony and production, on civil  liberties and human freedoms_on all the forces which create in our men and  women a strong moral fiber and spiritual stamina.  
1948_1	1948_1	Mr. President, Mr. Speaker, and Members of the 80th Congress:  
1948_3	1948_3	On this occasion, above all others, the Congress and the President should  concentrate their attention, not upon party but upon the country; not upon  things which divide us but upon those which bind us together the enduring  principles of our American system, and our common aspirations for the  future welfare and security of the people of the United States.  
1948_11	1948_11	We must devote ourselves to finding answers to these anxieties and  aspirations. We seek answers which will embody the moral and spiritual  elements of tolerance, unselfishness, and brotherhood upon which true  freedom and opportunity must rest.  
1948_13	1948_13	It was 10 years ago that the determination of dictators to wage war upon  mankind became apparent. The years that followed brought untold death and  destruction.  
1948_14	1948_14	We shared in the human suffering of the war, but we were fortunate enough  to escape most of war's destruction. We were able through these 10 years to  expand the productive strength of our farms and factories.  
1948_18	1948_18	I propose that we look ahead today toward those goals for the future which  have the greatest bearing upon the foundations of our democracy and the  happiness of our people.  
1948_21	1948_21	The United States has always had a deep concern for human rights. Religious  freedom, free speech, and freedom of thought are cherished realities in our  land. Any denial of human rights is a denial of the basic beliefs of  democracy and of our regard for the worth of each individual.  
1948_24	1948_24	We should also consider our obligation to assure the fullest possible  measure of civil rights to the people of our territories and possessions. I  believe that the time has come for Alaska and Hawaii to be admitted to the  Union as States.  
1948_28	1948_28	We should now extend unemployment compensation, old age benefits, and  survivors' benefits to millions who are not now protected. We should also  raise the level of benefits.  
1948_33	1948_33	Our educational systems face a financial crisis. It is deplorable that in a  Nation as rich as ours there are millions of children who do not have  adequate schoolhouses or enough teachers for a good elementary or secondary  education. If there are educational inadequacies in any State, the whole  Nation suffers. The Federal Government has a responsibility for providing  financial aid to meet this crisis.  
1948_36	1948_36	Health and education have their beginning in the home. No matter what our  hospitals or schools are like, the youth of our Nation are handicapped when  millions of them live in city slums and country shacks. Within the next  decade, we must see that every American family has a decent home. As an  immediate step we need the long_range housing program which I have  recommended on many occasions to this Congress. This should include  financial aids designed to yield more housing at lower prices. It should  provide public housing for low_income families, and vigorous development of  new techniques to lower the cost of building.  
1948_38	1948_38	We have had, and shall continue to have, a special interest in the welfare  of our veterans. Over 14 million men and women who served in the armed  forces in World War II have now returned to civilian life. Over 2 million  veterans are being helped through school. Millions have been aided while  finding jobs, and have been helped in buying homes, in obtaining medical  care, and in adjusting themselves to physical handicaps.  
1948_39	1948_39	All but a very few veterans have successfully made the transition from  military life to their home communities. The success of our veterans'  program is proved by this fact. This Nation is proud of the eagerness shown  by our veterans to become self_reliant and self_supporting citizens.  
1948_41	1948_41	The resources given by nature to this country are rich and extensive. The  material foundations of our growth and economic development are the bounty  of our fields, the wealth of our mines and forests, and the energy of our  waters. As a Nation, we are coming to appreciate more each day the dose  relationship between the conservation of these resources and the  preservation of our national strength.  
1948_42	1948_42	We are doing far less than we know how to do to make use of our resources  without destroying them. Both the public and private use of these resources  must have the primary objective of maintaining and increasing these basic  supports for an expanding future.  
1948_50	1948_50	Our fourth goal is to lift the standard of living for all our people by  strengthening our economic system and sharing more broadly among our people  the goods we produce.  
1948_51	1948_51	The amazing economic progress of the past 10 years points the way for the  next 10.  
1948_53	1948_53	Our yearly output of goods and services has increased by two_thirds.  
1948_54	1948_54	The average income of our people, measured in dollars of equal purchasing  power, has increased after taxes by more than 50 percent.  
1948_58	1948_58	To do this, agriculture, business, and labor must move forward together.  
1948_61	1948_61	To this end our farm program should enable the farmer to market his varied  crops at fair price levels and to improve his standard of living.  
1948_62	1948_62	We need to continue price supports for major farm commodities on a basis  which will afford reasonable protection against fluctuations in the levels  of production and demand. The present price support program must be  reexamined and modernized.  
1948_64	1948_64	We also need to improve the means for getting farm products into markets  and into the hands of consumers. Cooperatives which [p.6] directly or  indirectly serve this purpose must be encouraged not discouraged. The  school lunch program should be continued and adequately financed.  
1948_67	1948_67	All these are practical measures upon which we should act immediately to  enable agriculture to make its full contribution to our prosperity.  
1948_68	1948_68	We must also strengthen our economic system within the next decade by  enlarging our industrial capacity within the framework of our free  enterprise system.  
1948_70	1948_70	Growth and vitality in our economy depend on vigorous private enterprise.  Free competition is the key to industrial development, full production and  employment, fair prices, and an ever improving standard of living.  Competition is seriously limited today in many industries by the  concentration of economic power and other elements of monopoly. The  appropriation of sufficient funds to permit proper enforcement of the  present antitrust laws is essential. Beyond that we should go on to  strengthen our legislation to protect competition.  
1948_74	1948_74	In general, however, we must continue to rely on our sound system of  collective bargaining to set wage scales. Workers' incomes should increase  at a rate consistent with the maintenance of sound price, profit, and wage  relationships and with increase of productivity.  
1948_83	1948_83	We have learned that a healthy world economy is essential to world  peace that economic distress is a disease whose evil effects spread far  beyond the boundaries of the afflicted nation.  
1948_86	1948_86	We believe that the United States can be an effective force for world peace  only if it is strong. We look forward to the day when nations will decrease  their armaments. Yet so long as there remains serious opposition to the  ideals of a peaceful world, we must maintain strong armed forces.  
1948_87	1948_87	The passage of the National Security Act by the Congress at its last  session was a notable step in providing for the security of this country. A  further step which I consider of even greater importance is the early  provision for universal training. There are many elements in a balanced  national security program, all interrelated and necessary, but universal  training should be the foundation for them all. A favorable decision by the  Congress at an early date is of world importance. I am convinced that such  action is vital to the security of this Nation and to the maintenance of  its leadership.  
1948_88	1948_88	The United States is engaged today in many international activities  directed toward the creation of lasting peaceful relationships among  nations.  
1948_89	1948_89	We have been giving substantial aid to Greece and Turkey to assist those  nations in preserving their integrity against foreign pressures. Had it not  been for our aid, their situation today might well be radically different.  The continued integrity of those countries will have a powerful effect upon  other nations in the Middle East and in Europe struggling to maintain their  independence while they repair the damages of war.  
1948_92	1948_92	We are moving toward our goal of world peace in many ways. But the most  important efforts which we are now making are those which support world  economic reconstruction. We are seeking to restore the world trading system  which was shattered by the war and to remedy the economic paralysis which  grips many countries.  
1948_94	1948_94	Our present major effort toward economic reconstruction is to support the  program for recovery developed by the countries of Europe. In my recent  message to the Congress, I outlined the reasons why it is wise and  necessary for the United States to extend this support.  
1948_96	1948_96	We intend to work also with other nations in achieving world economic  recovery. We shall continue our cooperation with the nations of the Western  Hemisphere. A special program of assistance to China, to provide urgent  relief needs and to speed reconstruction, will be submitted to the  Congress.  
1948_100	1948_100	We are following a sound, constructive, and practical course in carrying  out our determination to achieve peace.  
1948_101	1948_101	We are fighting poverty, hunger, and suffering.  
1948_102	1948_102	This leads to peace not war.  
1948_109	1948_109	Worst of all, inflation holds the threat of another depression, just as we  had a depression after the unstable boom following the First World War.  
1948_112	1948_112	The events which have occurred since I presented my 10_point anti_inflation  program to the Congress in November have made it even clearer that all 10  points are essential.  
1948_113	1948_113	High prices must not be our means of rationing.  
1948_118	1948_118	Government expenditures have been and must continue to be held at the  lowest safe levels. Since V_J day Federal expenditures have been sharply  reduced. They have been cut from more than $63 billion in the fiscal year  1946 to less than $38 billion in the present fiscal year. The number of  civilian employees has been cut nearly in half from 3 3/4 million down to  2 million.  
1948_120	1948_120	Certain adjustments should be made within our existing tax structure that  will not affect total receipts, yet will adjust the tax burden so that  those least able to pay will have their burden lessened by the transfer of  a portion of it to those best able to pay.  
1948_122	1948_122	Because of this extraordinarily high level of profits, corporations can  well afford to carry a larger share of the taxload at this time.  
1949_17	1949_17	Our production is still not large enough to satisfy our demands.  
1949_18	1949_18	Our minimum wages are far too low.  
1949_20	1949_20	Our farmers still face an uncertain future. And too many of them lack the  benefits of our modern civilization.  
1949_29	1949_29	This objective cannot be attained by government alone. Indeed, the greater  part of the task must be performed by individual efforts under our system  of free enterprise. We can keep our present prosperity, and increase it,  only if free enterprise and free government work together to that end.  
1949_30	1949_30	We cannot afford to float along ceaselessly on a postwar boom until it  collapses. It is not enough merely to prepare to weather a recession if it  comes. Instead, government and business must work together constantly to  achieve more and more jobs and more and more production which mean more  and more prosperity for all the people.  
1949_31	1949_31	The business cycle is man_made; and men of good will, working together, can  smooth it out.  
1949_36	1949_36	Second, to grant authority to regulate speculation on the commodity  exchanges.  
1949_38	1949_38	Fourth, to continue the priorities and allocation authority in the field of  transportation.  
1949_43	1949_43	The Economic Report, which I shall submit to the Congress shortly, will  discuss in detail the economic background for these recommendations.  
1949_50	1949_50	If our free enterprise economy is to be strong and healthy, we must  reinvigorate the forces of competition. We must assure small business the  freedom and opportunity to grow and prosper. To this purpose, we should  strengthen our antitrust laws by closing those loopholes that permit  monopolistic mergers and consolidations.  
1949_56	1949_56	We must push forward the development of our rivers for power, irrigation,  navigation, and flood control. We should apply the lessons of our Tennessee  Valley experience to our other great river basins.  
1949_60	1949_60	The Government has still other opportunities to help raise the standard of  living of our citizens. These opportunities lie in the fields of social  security, health, education, housing, and civil rights.  
1949_61	1949_61	The present coverage of the social security laws is altogether inadequate;  the benefit payments are too low. One_third of our workers are not covered.  Those who receive old_age and survivors insurance benefits receive an  average payment of only $25 a month. Many others who cannot work because  they are physically disabled are left to the mercy of charity. We should  expand our social security program, both as to the size of the benefits and  the extent of coverage, against the economic hazards due to unemployment,  old age, sickness, and disability.  
1949_65	1949_65	The housing shortage continues to be acute. As an immediate step, the  Congress should enact the provisions for low_rent public housing, slum  clearance, farm housing, and housing research which I have repeatedly  recommended. The number of low_rent public housing units provided for in the  legislation should be increased to 1 million units in the next 7 years.  Even this number of units will not begin to meet our need for new housing.  
1949_68	1949_68	The authority which I have requested, to allocate materials in short supply  and to impose price ceilings on such materials, could be used, if found  necessary, to channel more materials into homes large enough for family  life at prices which wage earners can afford.  
1949_69	1949_69	The driving force behind our progress is our faith in our democratic  institutions. That faith is embodied in the promise of equal rights and  equal opportunities which the founders of our Republic proclaimed to their  countrymen and to the whole world.  
1949_74	1949_74	The heart of our foreign policy is peace. We are supporting a world  organization to keep peace and a world economic policy to create prosperity  for mankind. Our guiding star is the principle of international  cooperation. To this concept we have made a national commitment as profound  as anything in history.  
1949_77	1949_77	During the course of this session I shall have occasion to ask the Congress  to consider several measures in the field of foreign policy. At this time,  I recommend that we restore the Reciprocal Trade Agreements Act to full  effectiveness, and extend it for 3 years. We should also open our doors to  displaced persons without unfair discrimination.  
1949_79	1949_79	We believe that if we hold resolutely to this course, the principle of  international cooperation will eventually command the approval even of  those nations which are now seeking to weaken or subvert it.  
1949_82	1949_82	This is the task before us.  
1949_84	1949_84	I hope for cooperation from farmers, from labor, and from business. Every  segment of our population and every individual has a right to expect from  our Government a fair deal.  
1949_87	1949_87	The people of this great country have a right to expect that the Congress  and the President will work in closest cooperation with one objective the  welfare of the people of this Nation as a whole.  
1949_89	1949_89	Now, I am confident that the Divine Power which has guided us to this time  of fateful responsibility and glorious opportunity will not desert us now.  
1950_2	1950_2	A year ago I reported to this Congress that the state of the Union was  good. I am happy to be able to report to you today that the state of the  Union continues to be good. Our Republic continues to increase in the  enjoyment of freedom within its borders, and to offer strength and  encouragement to all those who love freedom throughout the world.  
1950_6	1950_6	In our domestic affairs, we have made notable advances toward broader  opportunity and a better life for all our citizens.  
1950_9	1950_9	Today, by the grace of God, we stand a free and prosperous nation with  greater possibilities for the future than any people ever had before in the  history of the world.  
1950_15	1950_15	Among all the great changes that have occurred in the last 50 years, none  is more important than the change in the position of the United States in  world affairs. Fifty years ago we were a country devoted largely to our own  internal affairs. Our industry was growing, and we had new interests in the  Far East and in the Caribbean, but we were primarily concerned with the  development of vast areas of our own continental territory.  
1950_19	1950_19	Right here, I want to say that no one appreciates more than I the  bipartisan cooperation in foreign affairs which has been enjoyed by this  administration.  
1950_20	1950_20	Our success in working with other nations to achieve peace depends largely  on what we do at home. We must preserve our national strength. Strength is  not simply a matter of arms and force. It is a matter of economic growth,  and social health, and vigorous institutions, public and private. We can  achieve peace only if we maintain our productive energy, our democratic  institutions, and our firm belief in individual freedom.  
1950_22	1950_22	This country of ours has experienced many blessings, but none greater than  its dedication to these principles. At every point in our history, these  ideals have served to correct our failures and shortcomings, to spur us on  to greater efforts, and to keep clearly before us the primary purpose of  our existence as a nation. They have enshrined for us, a principle of  government, the moral imperative to do justice, and the divine command to  men to love one another.  
1950_23	1950_23	These principles give meaning to all that we do.  
1950_24	1950_24	In foreign policy, they mean that we can never be tolerant of oppression or  tyranny. They mean that we must throw our weight on the side of greater  freedom and a better life for all peoples. These principles confirm us in  carrying out the specific programs for peace which we have already begun.  
1950_31	1950_31	World prosperity also requires that we do all we can to expand world trade.  As a major step in this direction we should promptly join the International  Trade Organization. The purpose of this organization, which the United  States has been foremost in creating, is to establish a code of fair  practice, and an international authority for adjusting differences in  international commercial relations. It is an effort to prevent the kind of  anarchy and irresponsibility in world trade which did so much to bring  about the world depression of the 1930's. An expanding world economy  requires the improvement of living standards and the development of  resources in areas where human poverty and misery now prevail. Without such  improvement the recovery of Europe and the future of our own economy will  not be secure. I urge that the Congress adopt the legislation now before it  to provide for increasing the flow of technical assistance and capital  investment in underdeveloped regions.  
1950_32	1950_32	It is more essential now than ever, if the ideals of freedom and  representative government are to prevail in these areas, and particularly  in the Far East, that their peoples experience, in their own lives, the  benefits of scientific and economic advances. This program will require the  movement of large amounts of capital from the industrial nations, and  particularly from the United States, to productive uses in the  underdeveloped areas of the world. Recent world events make prompt action  imperative.  
1950_35	1950_35	In the world today we are confronted with the danger that the rising demand  of people everywhere for freedom and a better life may be corrupted and  betrayed by the false promises of communism. In its ruthless struggle for  power, communism seizes upon our imperfections, and takes advantage of the  delays and setbacks which the democratic nations experience in their effort  to secure a better life for their citizens. This challenge to us is more  than a military challenge. It is a challenge to the honesty of our  profession of the democratic faith; it is a challenge to the efficiency and  stability of our economic system; it is a challenge to the willingness to  work with other peoples for world peace and for world prosperity.  
1950_38	1950_38	The ideal of equal opportunity no longer means simply the opportunity which  a man has to advance beyond his fellows. Some of our citizens do achieve  greater success than others as a reward for individual merit and effort,  and this is as it should be. At the same time our country must be more than  a land of opportunity for a select few. It must be a land of opportunity  for all of us. In such a land we can grow and prosper together.  
1950_44	1950_44	No one, of course, can foretell the future exactly. However, if we assume  that we shall grow as fast in the future as we have grown in the past, we  can get a good idea of how much our country should grow in the next 50  years.  
1950_46	1950_46	These are estimates of what we can do in the future, but we can reach these  heights only if we follow the right policies. We have learned by bitter  experience that progress is not automatic that wrong policies lead to  depression and disaster. We cannot achieve these gains unless we have a  stable economy and avoid the catastrophes of boom and bust that have set us  back in the past.  
