1946_1	1946_1	To the Congress of the United States:  
1948_3	1948_3	On this occasion, above all others, the Congress and the President should  concentrate their attention, not upon party but upon the country; not upon  things which divide us but upon those which bind us together the enduring  principles of our American system, and our common aspirations for the  future welfare and security of the people of the United States.  
1948_11	1948_11	We must devote ourselves to finding answers to these anxieties and  aspirations. We seek answers which will embody the moral and spiritual  elements of tolerance, unselfishness, and brotherhood upon which true  freedom and opportunity must rest.  
1948_13	1948_13	It was 10 years ago that the determination of dictators to wage war upon  mankind became apparent. The years that followed brought untold death and  destruction.  
1948_14	1948_14	We shared in the human suffering of the war, but we were fortunate enough  to escape most of war's destruction. We were able through these 10 years to  expand the productive strength of our farms and factories.  
1948_18	1948_18	I propose that we look ahead today toward those goals for the future which  have the greatest bearing upon the foundations of our democracy and the  happiness of our people.  
1948_21	1948_21	The United States has always had a deep concern for human rights. Religious  freedom, free speech, and freedom of thought are cherished realities in our  land. Any denial of human rights is a denial of the basic beliefs of  democracy and of our regard for the worth of each individual.  
1948_24	1948_24	We should also consider our obligation to assure the fullest possible  measure of civil rights to the people of our territories and possessions. I  believe that the time has come for Alaska and Hawaii to be admitted to the  Union as States.  
1948_28	1948_28	We should now extend unemployment compensation, old age benefits, and  survivors' benefits to millions who are not now protected. We should also  raise the level of benefits.  
1948_33	1948_33	Our educational systems face a financial crisis. It is deplorable that in a  Nation as rich as ours there are millions of children who do not have  adequate schoolhouses or enough teachers for a good elementary or secondary  education. If there are educational inadequacies in any State, the whole  Nation suffers. The Federal Government has a responsibility for providing  financial aid to meet this crisis.  
1948_36	1948_36	Health and education have their beginning in the home. No matter what our  hospitals or schools are like, the youth of our Nation are handicapped when  millions of them live in city slums and country shacks. Within the next  decade, we must see that every American family has a decent home. As an  immediate step we need the long_range housing program which I have  recommended on many occasions to this Congress. This should include  financial aids designed to yield more housing at lower prices. It should  provide public housing for low_income families, and vigorous development of  new techniques to lower the cost of building.  
1948_38	1948_38	We have had, and shall continue to have, a special interest in the welfare  of our veterans. Over 14 million men and women who served in the armed  forces in World War II have now returned to civilian life. Over 2 million  veterans are being helped through school. Millions have been aided while  finding jobs, and have been helped in buying homes, in obtaining medical  care, and in adjusting themselves to physical handicaps.  
1948_39	1948_39	All but a very few veterans have successfully made the transition from  military life to their home communities. The success of our veterans'  program is proved by this fact. This Nation is proud of the eagerness shown  by our veterans to become self_reliant and self_supporting citizens.  
1948_41	1948_41	The resources given by nature to this country are rich and extensive. The  material foundations of our growth and economic development are the bounty  of our fields, the wealth of our mines and forests, and the energy of our  waters. As a Nation, we are coming to appreciate more each day the dose  relationship between the conservation of these resources and the  preservation of our national strength.  
1948_42	1948_42	We are doing far less than we know how to do to make use of our resources  without destroying them. Both the public and private use of these resources  must have the primary objective of maintaining and increasing these basic  supports for an expanding future.  
1948_50	1948_50	Our fourth goal is to lift the standard of living for all our people by  strengthening our economic system and sharing more broadly among our people  the goods we produce.  
1948_51	1948_51	The amazing economic progress of the past 10 years points the way for the  next 10.  
1948_53	1948_53	Our yearly output of goods and services has increased by two_thirds.  
1948_54	1948_54	The average income of our people, measured in dollars of equal purchasing  power, has increased after taxes by more than 50 percent.  
1948_58	1948_58	To do this, agriculture, business, and labor must move forward together.  
1948_61	1948_61	To this end our farm program should enable the farmer to market his varied  crops at fair price levels and to improve his standard of living.  
1948_62	1948_62	We need to continue price supports for major farm commodities on a basis  which will afford reasonable protection against fluctuations in the levels  of production and demand. The present price support program must be  reexamined and modernized.  
1948_64	1948_64	We also need to improve the means for getting farm products into markets  and into the hands of consumers. Cooperatives which [p.6] directly or  indirectly serve this purpose must be encouraged not discouraged. The  school lunch program should be continued and adequately financed.  
1948_67	1948_67	All these are practical measures upon which we should act immediately to  enable agriculture to make its full contribution to our prosperity.  
1948_68	1948_68	We must also strengthen our economic system within the next decade by  enlarging our industrial capacity within the framework of our free  enterprise system.  
1948_70	1948_70	Growth and vitality in our economy depend on vigorous private enterprise.  Free competition is the key to industrial development, full production and  employment, fair prices, and an ever improving standard of living.  Competition is seriously limited today in many industries by the  concentration of economic power and other elements of monopoly. The  appropriation of sufficient funds to permit proper enforcement of the  present antitrust laws is essential. Beyond that we should go on to  strengthen our legislation to protect competition.  
1948_74	1948_74	In general, however, we must continue to rely on our sound system of  collective bargaining to set wage scales. Workers' incomes should increase  at a rate consistent with the maintenance of sound price, profit, and wage  relationships and with increase of productivity.  
1948_83	1948_83	We have learned that a healthy world economy is essential to world  peace that economic distress is a disease whose evil effects spread far  beyond the boundaries of the afflicted nation.  
1948_86	1948_86	We believe that the United States can be an effective force for world peace  only if it is strong. We look forward to the day when nations will decrease  their armaments. Yet so long as there remains serious opposition to the  ideals of a peaceful world, we must maintain strong armed forces.  
1948_87	1948_87	The passage of the National Security Act by the Congress at its last  session was a notable step in providing for the security of this country. A  further step which I consider of even greater importance is the early  provision for universal training. There are many elements in a balanced  national security program, all interrelated and necessary, but universal  training should be the foundation for them all. A favorable decision by the  Congress at an early date is of world importance. I am convinced that such  action is vital to the security of this Nation and to the maintenance of  its leadership.  
1948_88	1948_88	The United States is engaged today in many international activities  directed toward the creation of lasting peaceful relationships among  nations.  
1948_89	1948_89	We have been giving substantial aid to Greece and Turkey to assist those  nations in preserving their integrity against foreign pressures. Had it not  been for our aid, their situation today might well be radically different.  The continued integrity of those countries will have a powerful effect upon  other nations in the Middle East and in Europe struggling to maintain their  independence while they repair the damages of war.  
1948_92	1948_92	We are moving toward our goal of world peace in many ways. But the most  important efforts which we are now making are those which support world  economic reconstruction. We are seeking to restore the world trading system  which was shattered by the war and to remedy the economic paralysis which  grips many countries.  
1948_94	1948_94	Our present major effort toward economic reconstruction is to support the  program for recovery developed by the countries of Europe. In my recent  message to the Congress, I outlined the reasons why it is wise and  necessary for the United States to extend this support.  
1948_96	1948_96	We intend to work also with other nations in achieving world economic  recovery. We shall continue our cooperation with the nations of the Western  Hemisphere. A special program of assistance to China, to provide urgent  relief needs and to speed reconstruction, will be submitted to the  Congress.  
1948_100	1948_100	We are following a sound, constructive, and practical course in carrying  out our determination to achieve peace.  
1948_101	1948_101	We are fighting poverty, hunger, and suffering.  
1948_102	1948_102	This leads to peace not war.  
1948_109	1948_109	Worst of all, inflation holds the threat of another depression, just as we  had a depression after the unstable boom following the First World War.  
1948_112	1948_112	The events which have occurred since I presented my 10_point anti_inflation  program to the Congress in November have made it even clearer that all 10  points are essential.  
1948_113	1948_113	High prices must not be our means of rationing.  
1948_118	1948_118	Government expenditures have been and must continue to be held at the  lowest safe levels. Since V_J day Federal expenditures have been sharply  reduced. They have been cut from more than $63 billion in the fiscal year  1946 to less than $38 billion in the present fiscal year. The number of  civilian employees has been cut nearly in half from 3 3/4 million down to  2 million.  
1948_120	1948_120	Certain adjustments should be made within our existing tax structure that  will not affect total receipts, yet will adjust the tax burden so that  those least able to pay will have their burden lessened by the transfer of  a portion of it to those best able to pay.  
1948_122	1948_122	Because of this extraordinarily high level of profits, corporations can  well afford to carry a larger share of the taxload at this time.  
1949_17	1949_17	Our production is still not large enough to satisfy our demands.  
1949_18	1949_18	Our minimum wages are far too low.  
1949_20	1949_20	Our farmers still face an uncertain future. And too many of them lack the  benefits of our modern civilization.  
1949_29	1949_29	This objective cannot be attained by government alone. Indeed, the greater  part of the task must be performed by individual efforts under our system  of free enterprise. We can keep our present prosperity, and increase it,  only if free enterprise and free government work together to that end.  
1949_30	1949_30	We cannot afford to float along ceaselessly on a postwar boom until it  collapses. It is not enough merely to prepare to weather a recession if it  comes. Instead, government and business must work together constantly to  achieve more and more jobs and more and more production which mean more  and more prosperity for all the people.  
1949_31	1949_31	The business cycle is man_made; and men of good will, working together, can  smooth it out.  
1949_36	1949_36	Second, to grant authority to regulate speculation on the commodity  exchanges.  
1949_38	1949_38	Fourth, to continue the priorities and allocation authority in the field of  transportation.  
1949_43	1949_43	The Economic Report, which I shall submit to the Congress shortly, will  discuss in detail the economic background for these recommendations.  
1949_50	1949_50	If our free enterprise economy is to be strong and healthy, we must  reinvigorate the forces of competition. We must assure small business the  freedom and opportunity to grow and prosper. To this purpose, we should  strengthen our antitrust laws by closing those loopholes that permit  monopolistic mergers and consolidations.  
1949_56	1949_56	We must push forward the development of our rivers for power, irrigation,  navigation, and flood control. We should apply the lessons of our Tennessee  Valley experience to our other great river basins.  
1949_60	1949_60	The Government has still other opportunities to help raise the standard of  living of our citizens. These opportunities lie in the fields of social  security, health, education, housing, and civil rights.  
1949_61	1949_61	The present coverage of the social security laws is altogether inadequate;  the benefit payments are too low. One_third of our workers are not covered.  Those who receive old_age and survivors insurance benefits receive an  average payment of only $25 a month. Many others who cannot work because  they are physically disabled are left to the mercy of charity. We should  expand our social security program, both as to the size of the benefits and  the extent of coverage, against the economic hazards due to unemployment,  old age, sickness, and disability.  
1949_65	1949_65	The housing shortage continues to be acute. As an immediate step, the  Congress should enact the provisions for low_rent public housing, slum  clearance, farm housing, and housing research which I have repeatedly  recommended. The number of low_rent public housing units provided for in the  legislation should be increased to 1 million units in the next 7 years.  Even this number of units will not begin to meet our need for new housing.  
1949_68	1949_68	The authority which I have requested, to allocate materials in short supply  and to impose price ceilings on such materials, could be used, if found  necessary, to channel more materials into homes large enough for family  life at prices which wage earners can afford.  
1949_69	1949_69	The driving force behind our progress is our faith in our democratic  institutions. That faith is embodied in the promise of equal rights and  equal opportunities which the founders of our Republic proclaimed to their  countrymen and to the whole world.  
1949_74	1949_74	The heart of our foreign policy is peace. We are supporting a world  organization to keep peace and a world economic policy to create prosperity  for mankind. Our guiding star is the principle of international  cooperation. To this concept we have made a national commitment as profound  as anything in history.  
1949_77	1949_77	During the course of this session I shall have occasion to ask the Congress  to consider several measures in the field of foreign policy. At this time,  I recommend that we restore the Reciprocal Trade Agreements Act to full  effectiveness, and extend it for 3 years. We should also open our doors to  displaced persons without unfair discrimination.  
1949_79	1949_79	We believe that if we hold resolutely to this course, the principle of  international cooperation will eventually command the approval even of  those nations which are now seeking to weaken or subvert it.  
1949_82	1949_82	This is the task before us.  
1949_84	1949_84	I hope for cooperation from farmers, from labor, and from business. Every  segment of our population and every individual has a right to expect from  our Government a fair deal.  
1949_87	1949_87	The people of this great country have a right to expect that the Congress  and the President will work in closest cooperation with one objective the  welfare of the people of this Nation as a whole.  
1949_89	1949_89	Now, I am confident that the Divine Power which has guided us to this time  of fateful responsibility and glorious opportunity will not desert us now.  
1950_2	1950_2	A year ago I reported to this Congress that the state of the Union was  good. I am happy to be able to report to you today that the state of the  Union continues to be good. Our Republic continues to increase in the  enjoyment of freedom within its borders, and to offer strength and  encouragement to all those who love freedom throughout the world.  
1950_6	1950_6	In our domestic affairs, we have made notable advances toward broader  opportunity and a better life for all our citizens.  
1950_9	1950_9	Today, by the grace of God, we stand a free and prosperous nation with  greater possibilities for the future than any people ever had before in the  history of the world.  
1950_15	1950_15	Among all the great changes that have occurred in the last 50 years, none  is more important than the change in the position of the United States in  world affairs. Fifty years ago we were a country devoted largely to our own  internal affairs. Our industry was growing, and we had new interests in the  Far East and in the Caribbean, but we were primarily concerned with the  development of vast areas of our own continental territory.  
1950_19	1950_19	Right here, I want to say that no one appreciates more than I the  bipartisan cooperation in foreign affairs which has been enjoyed by this  administration.  
1950_20	1950_20	Our success in working with other nations to achieve peace depends largely  on what we do at home. We must preserve our national strength. Strength is  not simply a matter of arms and force. It is a matter of economic growth,  and social health, and vigorous institutions, public and private. We can  achieve peace only if we maintain our productive energy, our democratic  institutions, and our firm belief in individual freedom.  
1950_22	1950_22	This country of ours has experienced many blessings, but none greater than  its dedication to these principles. At every point in our history, these  ideals have served to correct our failures and shortcomings, to spur us on  to greater efforts, and to keep clearly before us the primary purpose of  our existence as a nation. They have enshrined for us, a principle of  government, the moral imperative to do justice, and the divine command to  men to love one another.  
1950_23	1950_23	These principles give meaning to all that we do.  
1950_24	1950_24	In foreign policy, they mean that we can never be tolerant of oppression or  tyranny. They mean that we must throw our weight on the side of greater  freedom and a better life for all peoples. These principles confirm us in  carrying out the specific programs for peace which we have already begun.  
1950_31	1950_31	World prosperity also requires that we do all we can to expand world trade.  As a major step in this direction we should promptly join the International  Trade Organization. The purpose of this organization, which the United  States has been foremost in creating, is to establish a code of fair  practice, and an international authority for adjusting differences in  international commercial relations. It is an effort to prevent the kind of  anarchy and irresponsibility in world trade which did so much to bring  about the world depression of the 1930's. An expanding world economy  requires the improvement of living standards and the development of  resources in areas where human poverty and misery now prevail. Without such  improvement the recovery of Europe and the future of our own economy will  not be secure. I urge that the Congress adopt the legislation now before it  to provide for increasing the flow of technical assistance and capital  investment in underdeveloped regions.  
1950_32	1950_32	It is more essential now than ever, if the ideals of freedom and  representative government are to prevail in these areas, and particularly  in the Far East, that their peoples experience, in their own lives, the  benefits of scientific and economic advances. This program will require the  movement of large amounts of capital from the industrial nations, and  particularly from the United States, to productive uses in the  underdeveloped areas of the world. Recent world events make prompt action  imperative.  
1950_35	1950_35	In the world today we are confronted with the danger that the rising demand  of people everywhere for freedom and a better life may be corrupted and  betrayed by the false promises of communism. In its ruthless struggle for  power, communism seizes upon our imperfections, and takes advantage of the  delays and setbacks which the democratic nations experience in their effort  to secure a better life for their citizens. This challenge to us is more  than a military challenge. It is a challenge to the honesty of our  profession of the democratic faith; it is a challenge to the efficiency and  stability of our economic system; it is a challenge to the willingness to  work with other peoples for world peace and for world prosperity.  
1950_38	1950_38	The ideal of equal opportunity no longer means simply the opportunity which  a man has to advance beyond his fellows. Some of our citizens do achieve  greater success than others as a reward for individual merit and effort,  and this is as it should be. At the same time our country must be more than  a land of opportunity for a select few. It must be a land of opportunity  for all of us. In such a land we can grow and prosper together.  
1950_44	1950_44	No one, of course, can foretell the future exactly. However, if we assume  that we shall grow as fast in the future as we have grown in the past, we  can get a good idea of how much our country should grow in the next 50  years.  
1950_46	1950_46	These are estimates of what we can do in the future, but we can reach these  heights only if we follow the right policies. We have learned by bitter  experience that progress is not automatic that wrong policies lead to  depression and disaster. We cannot achieve these gains unless we have a  stable economy and avoid the catastrophes of boom and bust that have set us  back in the past.  
1950_50	1950_50	To avoid this danger, we must curb monopoly and provide aids to independent  business so that it may have the credit and capital to compete in a system  of free enterprise. I recommend that the Congress complete action at this  session on the pending bill to close the loopholes in the Clayton Act which  now permit monopolistic mergers. I also hope before this session is over to  transmit to the Congress a series of proposals to strengthen the  antimonopoly laws, to assist small business, and to encourage the growth of  new enterprises.  
1950_51	1950_51	In the case of labor, free collective bargaining must be protected and  encouraged. Collective bargaining is not only a fundamental economic  freedom for labor. It is also a strengthening and stabilizing influence for  our whole economy.  
1950_60	1950_60	If we are to achieve a better life for all, the natural resources of the  country must be regarded as a public trust. We must use our precious assets  of soil, water, and forest, and grassland in such a way that they become  constantly more productive and more valuable. Government investment in the  conservation and development of our resources is necessary to the future  economic expansion of the country.  
1950_61	1950_61	We need to enlarge the production and transmission of public power. That is  true not only in those regions which have already received great benefits  from Federal power projects, but also in regions such as New England where  the benefits of large_scale public power development have not yet been  experienced.  
1950_66	1950_66	To take full advantage of the increasing possibilities of nature we must  equip ourselves with increasing knowledge. Government has a responsibility  to see that our country maintains its position in the advance of science.  As a step toward this end, the Congress should complete action on the  measure to create a National Science Foundation.  
1950_67	1950_67	Another duty of the Government is to promote the economic security, the  health, and the education of its citizens. By so doing, we strengthen both  our economy and the structure of our society. In a nation as rich as ours,  all citizens should be able to live in decency and health.  
1950_70	1950_70	In the field of health there are immense opportunities to extend to more of  our people the benefits of the amazing advances in medical science. We have  made a good beginning in expanding our hospitals, but we must also go on to  remedy the shortages of doctors, nurses, and public health services, and to  establish a system of medical insurance which will enable all Americans to  afford good medical care.  
1950_71	1950_71	We must take immediate steps to strengthen our educational system. In many  parts of our country, young people are being handicapped for life because  of a poor education. The rapidly increasing number of children of school  age, coupled with the shortage of qualified teachers, makes this problem  more critical each year. I believe that the Congress should no longer delay  in providing Federal assistance to the States so that they can maintain  adequate schools.  
1950_72	1950_72	As we go forward in achieving greater economic security and greater  opportunity for all our people, we should make every effort to extend the  benefits of our democratic institutions to every citizen. The religious  ideals which we profess, and the heritage of freedom which we have received  from the past, clearly place that duty upon us. I again urge the Congress  to enact the civil rights proposals I made in February 1948. These  proposals are for the enactment of Federal statutes which will protect all  our people in the exercise of their democratic rights and their search for  economic opportunity, grant statehood to Alaska and Hawaii, provide a  greater measure of self_government for our island possessions, and accord  home rule to the District of Columbia. Some of those proposals have been  before the Congress for a long time. Those who oppose them, as well as  those who favor them, should recognize that it is the duty of the elected  representatives of the people to let these proposals come to a vote.  
1950_74	1950_74	The measures I am recommending to the Congress concerning both our foreign  and our domestic policies represent a carefully considered program to meet  our national needs. It is a program which necessarily requires large  expenditures of funds. More than 70 percent of the Government's  expenditures are required to meet the costs of past wars and to work for  world peace. This is the dominant factor in our fiscal policy. At the same  time, the Government must make substantial expenditures which are necessary  to the growth and expansion of the domestic economy.  
1950_79	1950_79	The fiscal policy I am recommending is the quickest and safest way of  achieving a balanced budget.  
1950_81	1950_81	We work for a better life for all, so that all men may put to good use the  great gifts with which they have been endowed by their Creator. We seek to  establish those material conditions of life in which, without exception,  men may live in dignity, perform useful work, serve their communities, and  worship God as they see fit.  
1950_82	1950_82	These may seem simple goals, but they are not little ones. They are worth a  great deal more than all the empires and conquests of history. They are not  to be achieved by military aggression or political fanaticism. They are to  be achieved by humbler means_by hard work, by a spirit of self_restraint in  our dealings with one another, and by a deep devotion to the principles of  justice and equality.  
1951_4	1951_4	I know that the 82d Congress will meet this challenge in a way worthy of  our great heritage. I know that your debates will be earnest, responsible,  constructive, and to the point. I know that from these debates there will  come the great decisions needed to carry us forward.  
1951_7	1951_7	We will succeed, but we must all do our part. We must all act together as  citizens of this great Republic.  
1951_14	1951_14	The free nations do not have any aggressive purpose. We want only peace in  the world peace for all countries. No threat to the security of any nation  is concealed in our plans and programs.  
1951_17	1951_17	This new imperialism has powerful military forces. It is keeping millions  of men under arms. It has a large air force and a strong submarine force.  It has complete control of the men and equipment of its satellites. It has  kept its subject peoples and its economy in a state of perpetual  mobilization.  
1951_19	1951_19	The Soviet imperialists have two ways of going about their destructive  work. They use the method of subversion and internal revolution, and they  use the method of external aggression. In preparation for either of these  methods of attack, they stir up class strife and disorder. They encourage  sabotage. They put out poisonous propaganda. They deliberately try to  prevent economic improvement.  
1951_23	1951_23	The free nations believe in the dignity and the worth of man.  
1951_24	1951_24	We believe in independence for all nations.  
1951_29	1951_29	Our own national security is deeply involved with that of the other free  nations. While they need our support, we equally need theirs. Our national  safety would be gravely prejudiced if the Soviet Union were to succeed in  harnessing to its war machine the resources and the manpower of the free  nations on the borders of its empire.  
1951_31	1951_31	In such a situation, the Soviet Union could impose its demands on the  world, without resort to conflict, simply through the preponderance of its  economic and military power. The Soviet Union does not have to attack the  United States to secure domination of the world. It can achieve its ends by  isolating us and swallowing up all our allies. Therefore, even if we were  craven enough I do not believe we could be but, I say, even if we were  craven enough to abandon our ideals, it would be disastrous for us to  withdraw from the community of free nations.  
1951_32	1951_32	We are the most powerful single member of this community, and we have a  special responsibility. We must take the leadership in meeting the  challenge to freedom and in helping to protect the rights of independent  nations.  
1951_45	1951_45	To put these plans into action, we sent to Europe last week one of our  greatest military commanders, General Dwight D. Eisenhower.  
1951_51	1951_51	It is in the Far East that we have taken up arms, under the United Nations,  to preserve the principle of independence for free nations. We are fighting  to keep the forces of Communist aggression from making a slave state out of  Korea.  
1951_52	1951_52	Korea has tremendous significance for the world. It means that free  nations, acting through the United Nations, are fighting together against  aggression.  
1951_57	1951_57	The Soviet rulers have made it clear that we must have strength as well as  right on our side. If we build our strength and we are building it the  Soviet rulers may face the facts and lay aside their plans to take over the  world.  
1951_58	1951_58	That is what we hope will happen, and that is what we are trying to bring  about. That is the only realistic road to peace.  
1951_64	1951_64	In many cases, however, our stocks of weapons are low. In other cases,  those on hand are not the most modern. We have made remarkable technical  advances. We have developed new types of jet planes and powerful new tanks.  We are concentrating on producing the newest types of weapons and producing  them as fast as we can.  
1951_65	1951_65	This production drive is more selective than the one we had during World  War II, but it is just as urgent and intense. It is a big program and it is  a costly one.  
1951_66	1951_66	Let me give you two concrete examples. Our present program calls for  expanding the aircraft industry so that it will have the capacity to  produce 50,000 modern military planes a year. We are preparing the capacity  to produce 35,000 tanks a year. We are not now ordering that many planes or  that many tanks, and we hope that we never have to, but we mean to be able  to turn them out if we need them.  
1951_71	1951_71	The first part is to get our defense production going as fast as possible.  We have to convert plants and channel materials to defense production. This  means heavy cuts in civilian uses of copper, aluminum, rubber, and other  essential materials. It means shortages in various consumer goods.  
1951_74	1951_74	The Congress will need to consider legislation, at this session, affecting  all the aspects of our mobilization job. The main subjects on which  legislation will be needed are:  
1951_75	1951_75	First, appropriations for our military buildup.  
1951_81	1951_81	Seventh, housing and training of defense workers and the full use of all  our manpower resources.  
1951_83	1951_83	Ninth, aid to the States to meet the most urgent needs of our elementary  and secondary schools. Some of our plans will have to be deferred for the  time being. But we should do all we can to make sure our children are being  trained as good and useful citizens in the critical times ahead.  
1951_92	1951_92	We are building up our strength, in concert with other free nations, to  meet the danger of aggression that has been turned loose on the world. The  strength of the free nations is the world's best hope of peace.  
1951_94	1951_94	Make no mistake about my meaning. I do not ask, or expect, unanimity. I do  not ask for an end to debate. Only by debate can we arrive at decisions  which are wise, and which reflect the desires of the American people. We do  not have a dictatorship in this country, and we never will have one in this  country.  
1951_96	1951_96	Let us keep our eyes on the issues and work for the things we all believe  in.  
1951_97	1951_97	Let each of us put our country ahead of our party, and ahead of our own  personal interests.  
1951_99	1951_99	Let us all stand together as Americans. Let us stand together with all men  everywhere who believe in human liberty.  
1951_102	1951_102	This is our cause peace, freedom, justice. We will pursue this cause with  determination and humility, asking divine guidance that in all we do we may  follow the will of God.  
1952_2	1952_2	I have the honor to report to the Congress on the state of the Union.  
1952_13	1952_13	Peace depends upon the free nations sticking together, and making a  combined effort to check aggression and prevent war. In this respect, 1951  was a year of great achievement.  
1952_15	1952_15	In Indochina and Malaya, our aid has helped our allies to hold back the  Communist advance, although there are signs of further trouble in that  area.  
1952_16	1952_16	In 1951 we strengthened the chances of peace in the Pacific region by the  treaties with Japan and the defense arrangements with Australia, New  Zealand, and the Philippines.  
1952_17	1952_17	In Europe combined defense has become a reality. The free nations have  created a real fighting force. This force is not yet as strong as it needs  to be; but it is already a real obstacle to any attempt by hostile forces  to sweep across Europe to the Atlantic.  
1952_20	1952_20	At the present session of the United Nations in Paris, we, together with  the British and the French, offered a plan to reduce and control all  armaments under a foolproof inspection system. This is a concrete,  practical proposal for disarmament.  
1952_27	1952_27	This expansion will mean more jobs and higher standards of living for all  of us in the years ahead. At the present time it means greater strength for  us and for the rest of the free world in the fight for peace.  
1952_29	1952_29	The outstanding fact to note on the debit side of the ledger is that the  Soviet Union, in 1951, continued to expand its military production and  increase its already excessive military power.  
1952_30	1952_30	It is true that the Soviets have run into increasing difficulties. Their  hostile policies have awakened stern resistance among free men throughout  the world. And behind the Iron Curtain the Soviet rule of force has created  growing political and economic stresses in the satellite nations.  
1952_32	1952_32	And here at home, our defense preparations are far from complete.  
1952_36	1952_36	In the Middle East political tensions and the oil controversy in Iran are  keeping the region in a turmoil. In the Far East the dark threat of  Communist imperialism still hangs over many nations.  
1952_37	1952_37	This, very briefly, is the good side and the bad side of the picture.  
1952_40	1952_40	Our task will not be easy; but if we go at it with a will, we can look  forward to steady progress. On our side are all the great resources of  freedom the ideals of religion and democracy, the aspiration of people for  a better life, and the industrial and technical power of a free  civilization.  
1952_43	1952_43	But if there are any among us who think we ought to ease up in the fight  for peace, I want to remind them of three things just three things.  
1952_47	1952_47	This is a time for courage, not for grumbling and mumbling.  
1952_49	1952_49	The thing that is uppermost in the minds of all of us is the situation in  Korea. We must, and we will, keep up the fight there until we get the kind  of armistice that will put an end to the aggression and protect the safety  of our forces and the security of the Republic of Korea. Beyond that we  shall continue to work for a settlement in Korea that upholds the  principles of the United Nations.  
1952_51	1952_51	Meanwhile, we must continue to strengthen the forces of freedom throughout  the world.  
1952_56	1952_56	In the long run we want to see Europe freed from any dependence on our aid.  Our European allies want that just as bad as we do. The steps that are now  being taken to build European unity should help bring that about. Six  European countries are pooling their coal and steel production under the  Schuman plan. Work is going forward on the merger of European national  forces on the Continent into a single army. These great projects should  become realities in 1952.  
1952_58	1952_58	In Asia the new Communist empire is a daily threat to millions of people.  The peoples of Asia want to be free to follow their own way of life. They  want to preserve their culture and their traditions against communism, just  as much as we want to preserve ours. They are laboring under terrific  handicaps poverty, ill health, feudal systems of land ownership, and the  threat of internal subversion or external attack. We can and we must  increase our help to them.  
1952_61	1952_61	This last year we made available millions of bushels of wheat to relieve  famine in India. But far more important, in the long run, is the work  Americans are doing in India to help the Indian farmers themselves raise  more grain. With the help of our technicians, Indian farmers, using simple,  inexpensive means, have been able since 1948 to double the crops in one  area in India. One farmer there raised 63 bushels of wheat to the acre,  where 13 bushels had been the average before.  
1952_63	1952_63	My friends of the Congress, less than one_third of the expenditure for the  cost of World War II would have created the developments necessary to feed  the whole world so we wouldn't have to stomach communism. That is what we  have got to fight, and unless we fight that battle and win it, we can't win  the cold war or a hot one either.  
1952_74	1952_74	The very critical part of our defense job this year is to keep down  inflation.  
1952_77	1952_77	Congress has a tremendous responsibility in this matter. Our stabilization  law was shot full of holes at the last session. This year, it will be one  of the main tasks before the Congress to repair the damage and enact a  strong anti_inflation law.  
1952_81	1952_81	Our strength depends upon the health, the morale, the freedom of our  people. We can take on the burden of leadership in the fight for world  peace because, for nearly 20 years, the Government and the people have been  working together for the general welfare. We have given more and more of  out citizens a fair chance at decent, useful, productive lives. That is the  reason we are as strong as we are today.  
1952_82	1952_82	This Government of ours the Congress and the executive both must keep on  working to bring about a fair deal for all the American people. Some people  will say that we haven't the time or the money this year for measures for  the welfare of the people. But if we want to win the fight for peace, this  is a part of the job we cannot ignore.  
1952_84	1952_84	I believe most people in this country will agree with me on that.  
1952_87	1952_87	I think our businessmen know that scientific research and transportation  services and more steel mills and power projects are not luxuries, but  necessities to keep our business and our industry in the forefront of  industrial progress.  
1952_98	1952_98	We should also make some cost_of_living adjustments for those receiving  veterans' compensation for death or disability incurred in the service of  our country. In addition, now is the time to start a sensible program of  readjustment benefits for our veterans who have seen service since the  fighting broke out in Korea.  
1952_104	1952_104	All these measures I have been talking about measures to advance the  well_being of our people demonstrate to the world the forward movement of  our free society.  
1952_109	1952_109	I have already made some recommendations to the Congress to help accomplish  these purposes. I intend to submit further recommendations to this end. I  will welcome the wholehearted cooperation of the Congress in this effort.  
1952_112	1952_112	When you come right down to it, it is the courage and the character of our  Nation and of each one of us as individuals_that will really decide how  well we meet this challenge.  
1952_117	1952_117	We must have that same faith and vision. In the great contest in which we  are engaged today, we cannot expect to have fair weather all the way. But  it is a contest just as important for this country and for all men, as the  desperate struggle that George Washington fought through to victory.  
1953_1	1953_1	Mr. President, Mr. Speaker, Members of the Eighty_third Congress:  
1953_8	1953_8	The purpose of this message is to suggest certain lines along which our  joint efforts may immediately be directed toward realization of these four  ruling purposes.  
1953_13	1953_13	This administration has, therefore, begun the definition of a new, positive  foreign policy. This policy will be governed by certain fixed ideas. They  are these:  
1953_14	1953_14	(1) Our foreign policy must be clear, consistent, and confident. This means  that it must be the product of genuine, continuous cooperation between the  executive and the legislative branches of this Government. It must be  developed and directed in the spirit of true bipartisanship.  
1953_16	1953_16	(3) Our policy, dedicated to making the free world secure, will envision  all peaceful methods and devices except breaking faith with our friends.  We shall never acquiesce in the enslavement of any people in order to  purchase fancied gain for ourselves. I shall ask the Congress at a later  date to join in an appropriate resolution making clear that this Government  recognizes no kind of commitment contained in secret understandings of the  past with foreign governments which permit this kind of enslavement.  
